,Unnamed: 0,Country Name,Country Code,2017,total_population,Region,Victims_per_1000_population,Est. number of people in modern slavery,Factor One Governance Issues,Factor Two Nourishment and Access,Factor Three Inequality,Factor Four Disenfranchised Groups,Factor Five Effects of Conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,Criminal justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,HDI_Rank,Education_Access_Score,gdp_2017,gdp_per_capita
82,158,Myanmar,MMR,4002424944.8455296,52404000.0,Asia and the Pacific,11.0,575000.0,58.1,43.8,26.1,46.0,70.2,65.9,5.2,58.0,1.1,18.3,1.8,43.8,-1.0,-1.0,3.0,42.9,0.0,0.0,11.1,-2.0,32.4,CCC,150.0,0.370555556,68945867478.0,1316.0
83,160,Montenegro,MNE,560665419.031984,628000.0,Europe and Central Asia,5.9,4000.0,39.4,15.0,37.4,50.9,18.3,35.8,7.1,79.3,4.2,70.0,2.3,56.3,0.0,0.0,4.3,61.9,0.0,0.0,17.9,0.0,64.0,BBB,51.0,0.773555556,4856632399.0,7733.0
84,161,Mongolia,MNG,1494350363.46922,2977000.0,Asia and the Pacific,12.3,37000.0,40.9,36.8,35.1,47.1,18.1,43.5,2.5,27.8,2.0,33.3,1.3,31.3,0.0,-1.0,3.8,54.8,0.0,0.0,9.6,-1.0,30.7,CCC,103.0,0.693666667,11425755280.0,3838.0
85,163,Mozambique,MOZ,2319071971.47682,28011000.0,Africa,5.4,152000.0,48.6,48.3,40.5,48.1,30.0,57.0,5.2,57.6,3.0,49.4,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,12.4,-1.0,40.7,B,178.0,0.372055556,13219084261.0,472.0
86,164,Mauritania,MRT,588217194.758539,4182000.0,Africa,21.4,90000.0,67.3,33.7,39.3,50.5,22.3,62.0,0.6,6.5,1.5,25.0,0.8,18.8,-1.0,0.0,2.5,35.7,0.0,0.0,5.3,-1.0,15.5,C,161.0,0.352277778,6758390729.0,1616.0
87,165,Mauritius,MUS,442947618.0166,1259000.0,Africa,1.0,1000.0,25.5,17.7,33.6,31.1,12.2,21.2,3.9,43.7,2.3,38.9,0.0,0.0,0.0,0.0,3.5,50.0,0.0,0.0,9.8,0.0,34.9,CCC,63.0,0.718096828,13259351418.0,10532.0
88,166,Malawi,MWI,90200209.9764129,17574000.0,Africa,7.5,131000.0,55.4,51.5,40.9,61.5,19.1,63.4,3.0,33.1,1.4,23.9,1.8,43.8,-1.0,0.0,2.3,33.3,0.0,0.0,8.5,-1.0,26.8,CC,174.0,0.439666667,6303292264.0,359.0
89,167,Malaysia,MYS,9368469822.661459,30723000.0,Asia and the Pacific,6.9,212000.0,36.2,28.4,39.6,41.2,27.8,39.2,3.6,40.0,3.2,53.9,2.3,56.3,-1.0,0.0,2.7,38.1,0.0,0.0,11.8,-1.0,38.4,CCC,62.0,0.670544444,318958000000.0,10382.0
90,169,Namibia,NAM,373575659.263613,2426000.0,Africa,3.3,8000.0,44.6,38.4,55.9,38.8,10.4,48.1,3.1,34.1,1.7,27.8,0.8,18.8,0.0,0.0,3.8,54.8,0.0,0.0,9.3,0.0,33.3,CCC,127.0,0.520188889,12741746434.0,5252.0
91,171,Niger,NER,338710710.13916004,19897000.0,Africa,6.7,133000.0,61.9,41.2,37.0,45.0,50.4,65.6,2.6,29.1,2.1,35.6,1.0,25.0,-1.0,0.0,2.5,35.7,0.0,0.0,8.3,-1.0,25.9,CC,187.0,0.197933333,11166063887.0,561.0
92,172,Nigeria,NGA,3502999130.96667,181182000.0,Africa,7.7,1386000.0,54.1,41.3,50.2,47.1,95.5,74.1,5.3,58.9,3.2,53.3,2.0,50.0,-1.0,0.0,3.3,47.6,0.0,0.0,13.8,-1.0,45.8,B,152.0,0.42486,375745000000.0,2074.0
93,173,Nicaragua,NIC,771900000.0,6082000.0,Americas,2.9,18000.0,48.2,24.5,43.3,35.3,22.8,43.9,3.1,34.4,4.2,70.0,1.0,25.0,0.0,0.0,4.7,66.7,0.0,0.0,13.0,0.0,46.3,B,132.0,0.4839,13785943183.0,2267.0
94,174,Netherlands,NLD,96255613555.2639,16938000.0,Europe and Central Asia,1.8,30000.0,12.8,13.6,26.0,16.0,12.2,6.1,6.5,72.2,4.3,72.2,3.0,75.0,0.0,0.0,6.5,92.9,0.7,36.7,21.1,0.0,75.2,A,4.0,0.893532297,833870000000.0,49231.0
95,175,Norway,NOR,5900604723.7885895,5200000.0,Europe and Central Asia,1.8,9000.0,15.7,17.8,13.1,9.4,10.8,4.5,6.1,68.1,5.0,82.8,2.3,56.3,0.0,0.0,5.2,73.8,0.2,10.0,18.7,0.0,66.8,BBB,1.0,0.909922222,398394000000.0,76614.0
96,176,Nepal,NPL,196265098.563575,28656000.0,Asia and the Pacific,6.0,171000.0,52.0,35.6,32.2,8.7,34.7,44.1,3.2,35.2,2.5,41.7,2.0,50.0,-1.0,0.0,4.2,59.5,0.0,0.0,11.8,-1.0,38.7,CCC,145.0,0.452311111,25180583770.0,879.0
97,178,New Zealand,NZL,2093698049.94685,4615000.0,Asia and the Pacific,0.6,3000.0,12.2,18.4,16.2,7.0,7.0,1.9,4.8,53.7,2.9,47.8,1.8,43.8,0.0,0.0,6.7,95.2,0.0,0.0,16.1,0.0,57.6,BB,7.0,0.916766667,205416000000.0,44511.0
98,180,Oman,OMN,2917295188.55657,4200000.0,Arab States,2.1,9000.0,68.7,20.5,37.8,33.4,6.4,50.1,2.9,32.4,1.4,22.8,0.5,12.5,0.0,0.0,4.2,59.5,0.0,0.0,9.0,0.0,32.0,CCC,56.0,0.603279117,70600000000.0,16810.0
99,182,Pakistan,PAK,2496000000.0,189381000.0,Asia and the Pacific,16.8,3186000.0,56.8,36.2,45.9,55.3,92.8,74.1,1.9,21.5,0.9,15.6,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,6.2,-1.0,18.6,C,146.0,0.371667343,304567000000.0,1608.0
100,183,Panama,PAN,3976868000.0,3969000.0,Americas,2.1,8000.0,44.2,21.0,42.6,33.1,9.4,36.4,2.9,32.6,3.6,60.0,1.3,31.3,-1.0,0.0,5.5,78.6,0.0,0.0,13.3,-1.0,43.9,B,65.0,0.657411111,62219000000.0,15676.0
101,184,Peru,PER,6860492819.49823,31377000.0,Americas,2.6,80000.0,44.3,24.7,48.0,38.2,27.5,44.3,6.8,75.9,2.5,42.2,2.5,62.5,-1.0,0.0,3.8,54.8,0.0,0.0,15.7,-1.0,52.5,BB,82.0,0.664337879,211007000000.0,6725.0
102,185,Philippines,PHL,10256442398.8834,101716000.0,Asia and the Pacific,7.7,784000.0,50.5,35.3,45.7,36.4,69.3,60.2,4.6,51.5,4.2,69.4,2.0,50.0,0.0,0.0,4.8,69.0,0.0,0.0,15.6,0.0,55.8,BB,117.0,0.609984056,328481000000.0,3229.0
103,187,Papua New Guinea,PNG,161470622.807911,7920000.0,Asia and the Pacific,10.3,81000.0,64.8,63.3,46.2,9.5,13.3,61.9,2.4,26.5,1.8,30.6,0.3,6.3,-1.0,0.0,1.8,26.2,0.0,0.0,6.3,-1.0,18.9,C,157.0,0.376311111,22742613554.0,2872.0
104,188,Poland,POL,11762000000.0,38265000.0,Europe and Central Asia,3.4,128000.0,24.5,13.7,27.5,59.6,13.6,24.4,4.8,53.3,2.5,42.2,2.8,68.8,0.0,0.0,4.8,69.0,0.2,8.3,15.1,0.0,53.9,BB,35.0,0.824699932,526381000000.0,13756.0
105,192,Portugal,PRT,10663828803.4562,10418000.0,Europe and Central Asia,2.5,26000.0,12.2,15.6,31.7,20.7,9.7,8.5,5.6,62.6,4.2,69.4,2.8,68.8,0.0,0.0,5.8,83.3,0.2,8.3,18.6,0.0,66.3,BBB,41.0,0.727614636,221358000000.0,21248.0
106,193,Paraguay,PRY,603320572.227304,6639000.0,Americas,1.6,11000.0,38.3,21.0,64.7,32.7,22.7,40.9,2.4,26.1,3.4,56.7,1.5,37.5,-1.0,0.0,5.0,71.4,0.2,10.0,12.5,-1.0,40.9,B,111.0,0.587322222,39008900332.0,5876.0
107,198,Qatar,QAT,985989010.9890107,2482000.0,Arab States,1.5,4000.0,56.3,13.8,29.5,33.4,7.0,37.7,4.8,53.0,1.9,31.7,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,10.9,-1.0,35.4,CCC,31.0,0.685686747,166929000000.0,67256.0
108,199,Romania,ROU,5952909608.10492,19877000.0,Europe and Central Asia,4.3,86000.0,35.8,19.5,32.6,52.0,16.1,33.9,4.8,53.3,3.1,52.2,2.0,50.0,-1.0,0.0,3.0,42.9,0.4,18.3,13.3,-1.0,43.9,B,54.0,0.747894287,211695000000.0,10650.0
109,200,Russian Federation,RUS,28557440000.0,143888000.0,Europe and Central Asia,5.5,794000.0,59.3,13.5,38.6,34.1,51.9,51.6,1.5,17.0,1.9,32.2,1.5,37.5,-1.0,-1.0,2.8,40.5,0.0,0.0,7.8,-2.0,20.7,CC,57.0,0.779955556,1574200000000.0,10940.0
110,201,Rwanda,RWA,270110771.39,11630000.0,Africa,11.6,134000.0,56.6,40.8,40.0,55.7,34.0,61.7,3.3,36.9,2.5,41.7,1.8,43.8,-1.0,-1.0,3.8,54.8,0.0,0.0,11.4,-2.0,33.6,CCC,151.0,0.478166667,9253098954.0,796.0
111,203,Saudi Arabia,SAU,1418843613.8004801,31557000.0,Arab States,1.9,61000.0,63.2,21.9,30.1,14.2,32.2,46.3,2.9,32.4,2.6,42.8,1.5,37.5,-1.0,0.0,1.8,26.2,0.0,0.0,8.8,-1.0,27.9,CC,34.0,0.723174097,688586000000.0,21820.0
112,204,Sudan,SDN,1065298481.4186699,38648000.0,Africa,12.0,465000.0,80.7,46.6,42.4,37.0,87.4,87.1,0.3,2.8,1.6,26.7,1.0,25.0,-1.0,0.0,2.3,33.3,0.0,0.0,5.2,-1.0,14.9,C,166.0,0.305955556,45379127306.0,1174.0
113,205,Senegal,SEN,588292997.958708,14977000.0,Africa,2.9,43000.0,43.9,34.8,35.6,41.0,30.9,46.2,4.5,49.6,2.6,43.9,2.3,56.3,0.0,0.0,3.8,54.8,0.0,0.0,13.2,0.0,47.1,B,163.0,0.367811111,20996564752.0,1402.0
114,206,Singapore,SGP,97766497094.3389,5535000.0,Asia and the Pacific,3.4,19000.0,30.8,16.3,5.0,18.7,9.0,13.4,3.6,40.0,1.3,22.2,1.3,31.3,0.0,0.0,3.0,42.9,0.0,0.0,9.2,0.0,32.8,CCC,9.0,0.767777778,341863000000.0,61764.0
115,208,Sierra Leone,SLE,198174760.501372,7237000.0,Africa,5.0,36000.0,50.9,46.1,41.2,48.1,18.1,55.2,4.8,53.7,2.3,37.8,2.0,50.0,0.0,0.0,3.8,54.8,0.0,0.0,13.5,0.0,46.2,B,183.0,0.3045,3739577973.0,517.0
116,209,El Salvador,SLV,503801415.183001,6312000.0,Americas,2.5,16000.0,50.5,23.0,59.8,43.6,22.7,50.7,2.9,31.7,2.4,39.4,1.8,43.8,-1.0,0.0,4.5,64.3,0.0,0.0,11.5,-1.0,37.4,CCC,115.0,0.553261879,24979200000.0,3957.0
117,212,Serbia,SRB,2894615965.2376103,8851000.0,Europe and Central Asia,3.3,30000.0,39.1,15.2,31.6,40.9,27.5,33.9,5.8,63.9,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.3,0.0,61.9,BBB,77.0,0.695444444,44120425320.0,4985.0
118,218,Suriname,SUR,96075554.7414536,553000.0,Americas,2.3,1000.0,55.5,10.7,50.8,28.1,16.3,42.1,2.2,24.3,0.3,5.6,1.3,31.3,0.0,0.0,3.8,54.8,0.0,0.0,7.6,0.0,27.1,CC,100.0,0.588380289,3210064506.0,5805.0
119,220,Slovenia,SVN,1196228604.69281,2075000.0,Europe and Central Asia,2.2,5000.0,22.4,16.6,30.6,45.6,6.4,20.1,5.4,60.4,3.5,57.8,2.3,56.3,0.0,0.0,5.2,73.8,0.4,18.3,16.7,0.0,59.6,BB,25.0,0.863083331,48561672401.0,23403.0
120,221,Sweden,SWE,26347927028.2056,9764000.0,Europe and Central Asia,1.6,15000.0,10.2,17.0,17.4,13.0,18.3,4.3,6.6,73.1,3.9,64.4,3.3,81.3,0.0,0.0,5.2,73.8,0.4,18.3,19.2,0.0,68.7,BBB,12.0,0.830134011,541019000000.0,55410.0
121,227,Chad,TCD,334997123.7491,14009000.0,Africa,12.0,168000.0,71.8,43.2,48.5,46.5,46.1,74.9,1.5,16.7,0.8,13.9,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,5.7,-1.0,16.7,C,184.0,0.255851922,10000395242.0,714.0
122,230,Togo,TGO,88558699.5022234,7417000.0,Africa,6.8,50000.0,70.0,31.5,45.3,42.3,17.1,61.3,2.6,28.7,1.3,21.1,1.3,31.3,0.0,0.0,1.5,21.4,0.0,0.0,6.6,0.0,23.6,CC,166.0,0.514422222,4819949975.0,650.0
123,231,Thailand,THA,8229148190.32755,68658000.0,Asia and the Pacific,8.9,610000.0,50.9,21.8,35.3,45.1,51.9,51.1,4.2,46.3,3.1,51.7,2.3,56.3,-1.0,0.0,5.2,73.8,0.0,0.0,14.7,-1.0,48.9,B,89.0,0.607965284,456295000000.0,6646.0
124,232,Tajikistan,TJK,185827080.700795,8549000.0,Europe and Central Asia,4.5,39000.0,67.4,30.9,32.8,27.8,30.1,55.8,3.5,38.9,2.2,36.1,1.8,43.8,-1.0,0.0,2.8,40.5,0.0,0.0,10.3,-1.0,33.0,CCC,133.0,0.639444444,7157865188.0,837.0
125,233,Turkmenistan,TKM,2085944000.0,5565000.0,Europe and Central Asia,11.2,62000.0,80.2,21.5,31.4,32.6,15.9,58.1,1.6,17.8,2.4,40.0,1.3,31.3,-1.0,-1.0,4.3,61.9,0.0,0.0,9.6,-2.0,27.1,CC,103.0,0.678712889,37926285714.0,6815.0
126,235,Timor-Leste,TLS,6715937.467148,1241000.0,Asia and the Pacific,7.7,10000.0,58.4,41.9,37.2,41.2,3.9,52.8,3.0,33.1,1.0,16.7,1.0,25.0,0.0,0.0,3.0,42.9,0.0,0.0,8.0,0.0,28.5,CC,128.0,0.472406667,1609669330.0,1297.0
127,240,Trinidad and Tobago,TTO,-456860907.461982,1360000.0,Americas,3.0,4000.0,38.6,13.0,62.4,47.8,13.7,39.1,6.1,67.2,3.0,50.0,1.3,31.3,-1.0,0.0,4.7,66.7,0.0,0.0,15.0,-1.0,49.9,B,64.0,0.700320689,22474828527.0,16526.0
128,241,Tunisia,TUN,810936482.8419981,11274000.0,Africa,2.2,25000.0,47.2,15.4,34.8,31.9,33.7,39.2,4.8,53.0,1.9,31.7,1.8,43.8,0.0,0.0,4.0,57.1,0.0,0.0,12.4,0.0,44.3,B,90.0,0.621455556,39802430355.0,3530.0
129,242,Turkey,TUR,11099000000.0,78271000.0,Europe and Central Asia,6.5,509000.0,47.0,22.2,47.0,48.6,47.9,51.6,6.0,66.7,3.4,57.2,1.5,37.5,0.0,0.0,2.3,33.3,0.0,0.0,13.3,0.0,47.4,B,69.0,0.652023697,852677000000.0,10894.0
130,245,Uganda,UGA,802704141.0085679,40145000.0,Africa,7.6,304000.0,52.8,48.3,38.2,50.3,35.3,60.8,4.3,48.1,3.1,51.7,1.5,37.5,-1.0,0.0,3.8,54.8,0.0,0.0,12.8,-1.0,42.0,B,164.0,0.478643671,30756466548.0,766.0
131,246,Ukraine,UKR,2827000000.0,44658000.0,Europe and Central Asia,6.4,286000.0,54.0,15.9,46.4,39.0,62.2,54.4,5.9,65.7,2.8,46.1,2.5,62.5,-1.0,0.0,4.7,66.7,0.0,0.0,15.9,-1.0,53.0,BB,83.0,0.795511111,112190000000.0,2512.0
132,248,Uruguay,URY,2652611060.9285607,3432000.0,Americas,1.0,4000.0,31.9,13.5,34.3,15.4,9.5,19.7,3.7,40.6,3.0,49.4,2.0,50.0,0.0,0.0,5.5,78.6,0.0,0.0,14.1,0.0,50.4,BB,50.0,0.712262429,59530088536.0,17346.0
133,249,United States,USA,354649000000.0,319929000.0,Americas,1.3,403000.0,18.3,18.2,30.3,15.6,28.6,15.9,8.3,92.6,4.5,75.6,2.3,56.3,0.0,-1.0,4.7,66.7,1.3,65.0,21.1,-1.0,71.7,BBB*,5.0,0.889759207,19485400000000.0,60905.0
134,250,Uzbekistan,UZB,1797341435.6538105,30976000.0,Europe and Central Asia,5.2,160000.0,71.7,20.3,32.6,9.0,18.0,47.5,2.7,30.2,2.0,33.9,1.3,31.3,-1.0,-1.0,4.5,64.3,0.0,0.0,10.5,-2.0,30.4,CCC,116.0,0.651111111,59159945321.0,1910.0
135,261,South Africa,ZAF,2058579911.05235,55291000.0,Africa,2.8,155000.0,46.7,38.3,61.0,36.9,26.9,53.8,4.8,53.7,3.7,61.7,1.8,43.8,-1.0,0.0,4.0,57.1,0.0,0.0,14.3,-1.0,47.4,B,118.0,0.695447164,349554000000.0,6322.0
136,262,Zambia,ZMB,1107519804.84533,16101000.0,Africa,5.7,92000.0,45.8,54.4,44.9,49.1,13.1,55.2,3.0,33.3,2.1,34.4,1.0,25.0,0.0,0.0,2.8,40.5,0.0,0.0,8.9,0.0,31.8,CCC,141.0,0.591333333,25868142077.0,1607.0
137,263,Zimbabwe,ZWE,247187738.788,15777000.0,Africa,6.7,105000.0,66.3,45.5,36.6,53.0,25.3,66.4,1.1,11.7,1.0,17.2,1.8,43.8,-1.0,0.0,2.5,35.7,0.0,0.0,6.3,-1.0,19.0,C,156.0,0.499933333,22040902300.0,1397.0
