,country,total_population,Region,victims_per_1000_population,Est. number of people in modern slavery,factor_one_governance_issues,Factor Two Nourishment and Access,factor_three_inequality,Factor Four Disenfranchised Groups,factor_five_effects_of_conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,criminal_justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,education_access_score,hdi_rank,gdp_per_capita,gdp_per_capita2
84,South Africa,55291000.0,Africa,2.8,155000.0,46.7,38.3,61.0,36.9,26.9,53.8,4.8,53.7,3.7,61.7,1.8,43.8,-1.0,0.0,4.0,57.1,0.0,0.0,14.3,-1.0,47.4,B,0.695447164,118.0,6322.0,39967684.0
85,China,1397029000.0,Asia and the Pacific,2.8,3864000.0,61.4,20.5,26.9,32.4,44.2,50.6,2.1,23.5,1.8,29.4,1.8,43.8,-1.0,-1.0,3.7,52.4,0.4,18.3,9.7,-2.0,27.4,CC,0.609666667,91.0,8812.0,77651344.0
86,Barbados,284000.0,Americas,2.7,1000.0,47.6,14.3,52.5,47.8,9.2,41.9,4.8,53.3,1.6,26.1,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,11.0,0.0,39.4,CCC,0.739777778,59.0,17528.0,307230784.0
87,Colombia,48229000.0,Americas,2.7,131000.0,45.7,19.2,56.4,32.6,63.5,51.6,3.6,40.4,2.5,42.2,2.5,62.5,-1.0,-1.0,4.8,69.0,0.0,0.0,13.5,-2.0,41.1,B,0.602222411,98.0,6467.0,41822089.0
88,Mexico,125891000.0,Americas,2.7,341000.0,47.3,23.7,59.0,37.8,68.8,57.3,4.8,53.7,3.8,62.8,2.3,56.3,-1.0,0.0,4.8,69.0,0.0,0.0,15.7,-1.0,52.4,BB,0.637833108,71.0,9196.0,84566416.0
89,Algeria,39872000.0,Africa,2.7,106000.0,63.2,17.9,27.8,37.0,43.6,52.0,2.7,29.4,2.8,47.2,1.5,37.5,0.0,0.0,3.2,45.2,0.0,0.0,10.2,0.0,36.3,CCC,0.642588889,93.0,4198.0,17623204.0
90,Guyana,769000.0,Americas,2.6,2000.0,49.5,25.6,60.4,28.1,12.4,45.4,3.0,33.1,2.7,44.4,1.0,25.0,-1.0,0.0,3.2,45.2,0.0,0.0,9.8,-1.0,31.5,CCC,0.581655556,121.0,4623.0,21372129.0
91,Jamaica,2872000.0,Americas,2.6,7000.0,39.5,24.2,62.2,47.8,15.5,44.2,4.6,50.6,4.4,72.8,3.0,75.0,0.0,0.0,4.5,64.3,0.0,0.0,16.4,0.0,58.6,BB,0.668355556,96.0,5155.0,26574025.0
92,Peru,31377000.0,Americas,2.6,80000.0,44.3,24.7,48.0,38.2,27.5,44.3,6.8,75.9,2.5,42.2,2.5,62.5,-1.0,0.0,3.8,54.8,0.0,0.0,15.7,-1.0,52.5,BB,0.664337879,82.0,6725.0,45225625.0
93,El Salvador,6312000.0,Americas,2.5,16000.0,50.5,23.0,59.8,43.6,22.7,50.7,2.9,31.7,2.4,39.4,1.8,43.8,-1.0,0.0,4.5,64.3,0.0,0.0,11.5,-1.0,37.4,CCC,0.553261879,115.0,3957.0,15657849.0
94,Portugal,10418000.0,Europe and Central Asia,2.5,26000.0,12.2,15.6,31.7,20.7,9.7,8.5,5.6,62.6,4.2,69.4,2.8,68.8,0.0,0.0,5.8,83.3,0.2,8.3,18.6,0.0,66.3,BBB,0.727614636,41.0,21248.0,451477504.0
95,Morocco,34803000.0,Africa,2.4,85000.0,60.7,18.8,38.1,35.7,22.0,48.3,0.6,6.5,3.4,56.7,1.3,31.3,0.0,0.0,5.0,71.4,0.0,0.0,10.2,0.0,36.5,CCC,0.467855556,129.0,3152.0,9935104.0
96,Italy,59504000.0,Europe and Central Asia,2.4,145000.0,31.7,14.4,45.4,31.0,19.3,28.3,5.3,58.3,4.7,78.9,2.0,50.0,-1.0,0.0,5.8,83.3,0.5,26.7,18.4,-1.0,62.0,BBB,0.789505799,26.0,32969.0,1086954961.0
97,Ecuador,16144000.0,Americas,2.4,39000.0,46.0,23.0,46.4,29.1,23.0,41.3,5.5,61.1,3.3,55.6,1.5,37.5,-1.0,0.0,3.7,52.4,0.0,0.0,14.0,-1.0,46.4,B,0.5938375,98.0,6460.0,41731600.0
98,Spain,46398000.0,Europe and Central Asia,2.3,105000.0,17.2,18.3,33.5,15.1,14.2,12.8,7.1,79.3,3.9,65.6,2.5,62.5,0.0,0.0,5.2,73.8,0.0,0.0,18.7,0.0,66.9,BBB,0.794396973,27.0,28289.0,800267521.0
99,Suriname,553000.0,Americas,2.3,1000.0,55.5,10.7,50.8,28.1,16.3,42.1,2.2,24.3,0.3,5.6,1.3,31.3,0.0,0.0,3.8,54.8,0.0,0.0,7.6,0.0,27.1,CC,0.588380289,100.0,5805.0,33698025.0
100,Tunisia,11274000.0,Africa,2.2,25000.0,47.2,15.4,34.8,31.9,33.7,39.2,4.8,53.0,1.9,31.7,1.8,43.8,0.0,0.0,4.0,57.1,0.0,0.0,12.4,0.0,44.3,B,0.621455556,90.0,3530.0,12460900.0
101,Slovenia,2075000.0,Europe and Central Asia,2.2,5000.0,22.4,16.6,30.6,45.6,6.4,20.1,5.4,60.4,3.5,57.8,2.3,56.3,0.0,0.0,5.2,73.8,0.4,18.3,16.7,0.0,59.6,BB,0.863083331,25.0,23403.0,547700409.0
102,Oman,4200000.0,Arab States,2.1,9000.0,68.7,20.5,37.8,33.4,6.4,50.1,2.9,32.4,1.4,22.8,0.5,12.5,0.0,0.0,4.2,59.5,0.0,0.0,9.0,0.0,32.0,CCC,0.603279117,56.0,16810.0,282576100.0
103,Sri Lanka,20714000.0,Asia and the Pacific,2.1,44000.0,44.1,27.0,33.5,34.9,35.9,42.5,2.4,26.7,2.6,42.8,1.0,25.0,-1.0,0.0,5.5,78.6,0.0,0.0,11.5,-1.0,37.4,CCC,0.737777778,73.0,4221.0,17816841.0
104,Iceland,330000.0,Europe and Central Asia,2.1,1000.0,20.6,11.7,21.1,4.1,1.8,4.2,4.4,48.7,3.3,54.4,1.5,37.5,0.0,0.0,3.7,52.4,0.2,8.3,13.0,0.0,46.4,B,0.846866667,13.0,74207.0,5506678849.0
105,United Kingdom,65397000.0,Europe and Central Asia,2.1,136000.0,15.9,15.6,25.1,12.4,27.8,11.1,7.4,82.0,4.3,73.9,2.5,62.5,0.0,0.0,5.2,73.8,0.5,26.7,20.2,0.0,71.5,BBB*,0.860260145,14.0,40770.0,1662192900.0
106,Panama,3969000.0,Americas,2.1,8000.0,44.2,21.0,42.6,33.1,9.4,36.4,2.9,32.6,3.6,60.0,1.3,31.3,-1.0,0.0,5.5,78.6,0.0,0.0,13.3,-1.0,43.9,B,0.657411111,65.0,15676.0,245736976.0
107,Germany,81708000.0,Europe and Central Asia,2.0,167000.0,15.9,15.0,22.8,15.7,24.7,10.4,5.6,61.7,3.5,57.8,2.3,56.3,0.0,0.0,4.0,57.1,0.7,36.7,16.0,0.0,57.1,BB,0.884371952,6.0,44865.0,2012868225.0
108,Belgium,11288000.0,Europe and Central Asia,2.0,23000.0,20.0,15.0,29.9,19.3,12.3,13.1,6.5,72.2,3.2,53.9,3.5,87.5,0.0,0.0,5.2,73.8,0.7,36.7,19.1,0.0,68.3,BBB,0.812291688,21.0,44630.0,1991836900.0
109,France,64457000.0,Europe and Central Asia,2.0,129000.0,17.3,15.4,29.4,21.2,28.5,15.3,3.8,42.4,4.3,71.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.2,0.0,61.5,BBB,0.815549416,20.0,40262.0,1621028644.0
110,Saudi Arabia,31557000.0,Arab States,1.9,61000.0,63.2,21.9,30.1,14.2,32.2,46.3,2.9,32.4,2.6,42.8,1.5,37.5,-1.0,0.0,1.8,26.2,0.0,0.0,8.8,-1.0,27.9,CC,0.723174097,34.0,21820.0,476112400.0
111,Bahrain,1372000.0,Arab States,1.9,3000.0,63.0,25.8,34.5,24.0,25.4,49.6,5.0,55.2,2.2,37.2,0.8,18.8,-1.0,0.0,2.2,31.0,0.0,0.0,10.1,-1.0,32.6,CCC,0.713966667,44.0,25819.0,666620761.0
112,Norway,5200000.0,Europe and Central Asia,1.8,9000.0,15.7,17.8,13.1,9.4,10.8,4.5,6.1,68.1,5.0,82.8,2.3,56.3,0.0,0.0,5.2,73.8,0.2,10.0,18.7,0.0,66.8,BBB,0.909922222,1.0,76614.0,5869704996.0
113,Jordan,9159000.0,Arab States,1.8,17000.0,57.9,15.7,41.8,47.4,26.2,49.9,4.3,48.1,2.6,42.8,1.3,31.3,0.0,0.0,2.7,38.1,0.0,0.0,10.8,0.0,38.6,CCC,0.699725098,77.0,4445.0,19758025.0
114,Brazil,205962000.0,Americas,1.8,369000.0,43.1,13.6,56.2,19.8,24.0,36.4,3.5,38.9,2.9,47.8,3.5,87.5,0.0,0.0,5.2,73.8,0.5,26.7,15.6,0.0,55.6,BB,0.661305629,79.0,10016.0,100320256.0
115,Netherlands,16938000.0,Europe and Central Asia,1.8,30000.0,12.8,13.6,26.0,16.0,12.2,6.1,6.5,72.2,4.3,72.2,3.0,75.0,0.0,0.0,6.5,92.9,0.7,36.7,21.1,0.0,75.2,A,0.893532297,4.0,49231.0,2423691361.0
116,Austria,8679000.0,Europe and Central Asia,1.7,15000.0,12.6,12.2,18.2,23.5,3.1,3.4,6.6,72.8,3.7,61.1,2.8,68.8,0.0,0.0,4.3,61.9,0.4,18.3,17.7,0.0,63.1,BBB,0.794481027,21.0,48199.0,2323143601.0
117,Lebanon,5851000.0,Arab States,1.7,10000.0,59.1,22.6,48.1,44.8,47.8,58.9,3.1,33.9,1.8,30.0,1.3,31.3,0.0,0.0,2.7,38.1,0.0,0.0,8.8,0.0,31.3,CCC,0.630576124,65.0,9082.0,82482724.0
118,Switzerland,8320000.0,Europe and Central Asia,1.7,14000.0,11.6,12.2,15.2,20.1,4.9,1.5,6.0,66.7,3.6,60.6,1.5,37.5,0.0,0.0,5.7,81.0,0.0,0.0,16.8,0.0,60.0,BBB,0.844089209,3.0,81725.0,6678975625.0
119,Ireland,4700000.0,Europe and Central Asia,1.7,8000.0,17.2,17.0,24.3,10.9,20.1,10.4,5.9,65.9,2.5,42.2,2.5,62.5,0.0,0.0,4.8,69.0,0.4,18.3,16.2,0.0,57.7,BB,0.887066667,11.0,71418.0,5100530724.0
120,United Arab Emirates,9154000.0,Arab States,1.7,15000.0,47.9,15.1,24.7,7.8,11.9,26.8,5.7,63.0,2.5,41.1,2.3,56.3,0.0,0.0,3.0,42.9,0.0,0.0,13.4,0.0,47.8,B,0.673214954,40.0,42124.0,1774431376.0
121,Finland,5482000.0,Europe and Central Asia,1.7,9000.0,18.6,16.0,15.0,17.8,11.2,8.2,4.8,53.7,3.0,49.4,3.3,81.3,0.0,0.0,5.0,71.4,0.2,8.3,16.2,0.0,57.9,BB,0.815088889,24.0,46538.0,2165785444.0
122,Denmark,5689000.0,Europe and Central Asia,1.6,9000.0,8.7,15.3,13.8,15.2,12.5,1.0,5.6,62.6,3.4,56.1,2.0,50.0,0.0,0.0,4.8,69.0,0.6,28.3,16.4,0.0,58.6,BB,0.872826055,10.0,57904.0,3352873216.0
123,Paraguay,6639000.0,Americas,1.6,11000.0,38.3,21.0,64.7,32.7,22.7,40.9,2.4,26.1,3.4,56.7,1.5,37.5,-1.0,0.0,5.0,71.4,0.2,10.0,12.5,-1.0,40.9,B,0.587322222,111.0,5876.0,34527376.0
124,Sweden,9764000.0,Europe and Central Asia,1.6,15000.0,10.2,17.0,17.4,13.0,18.3,4.3,6.6,73.1,3.9,64.4,3.3,81.3,0.0,0.0,5.2,73.8,0.4,18.3,19.2,0.0,68.7,BBB,0.830134011,12.0,55410.0,3070268100.0
125,Qatar,2482000.0,Arab States,1.5,4000.0,56.3,13.8,29.5,33.4,7.0,37.7,4.8,53.0,1.9,31.7,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,10.9,-1.0,35.4,CCC,0.685686747,31.0,67256.0,4523369536.0
126,Luxembourg,567000.0,Europe and Central Asia,1.5,1000.0,17.7,13.7,24.5,12.1,14.3,8.4,4.3,47.4,2.0,33.9,2.8,68.8,0.0,0.0,3.5,50.0,0.2,8.3,12.7,0.0,45.4,B,0.762111044,21.0,113196.0,12813334416.0
127,Kuwait,3936000.0,Arab States,1.5,6000.0,59.7,20.1,29.3,29.3,28.5,45.9,2.6,28.7,2.0,33.9,1.0,25.0,-1.0,0.0,3.2,45.2,0.0,0.0,8.8,-1.0,27.8,CC,0.645787499,46.0,30667.0,940464889.0
128,Argentina,43418000.0,Americas,1.3,55000.0,39.3,11.4,45.0,23.6,13.4,28.9,6.3,70.0,4.2,70.6,2.5,62.5,-1.0,0.0,5.5,78.6,0.0,0.0,18.5,-1.0,62.6,BBB,0.783355597,49.0,14803.0,219128809.0
129,United States,319929000.0,Americas,1.3,403000.0,18.3,18.2,30.3,15.6,28.6,15.9,8.3,92.6,4.5,75.6,2.3,56.3,0.0,-1.0,4.7,66.7,1.3,65.0,21.1,-1.0,71.7,BBB*,0.889759207,5.0,60905.0,3709419025.0
130,Costa Rica,4808000.0,Americas,1.3,6000.0,35.2,16.7,40.7,29.4,12.2,28.4,4.8,53.7,2.5,41.7,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,14.0,0.0,50.0,BB,0.653921604,68.0,12163.0,147938569.0
131,Uruguay,3432000.0,Americas,1.0,4000.0,31.9,13.5,34.3,15.4,9.5,19.7,3.7,40.6,3.0,49.4,2.0,50.0,0.0,0.0,5.5,78.6,0.0,0.0,14.1,0.0,50.4,BB,0.712262429,50.0,17346.0,300883716.0
132,Mauritius,1259000.0,Africa,1.0,1000.0,25.5,17.7,33.6,31.1,12.2,21.2,3.9,43.7,2.3,38.9,0.0,0.0,0.0,0.0,3.5,50.0,0.0,0.0,9.8,0.0,34.9,CCC,0.718096828,63.0,10532.0,110923024.0
133,Chile,17763000.0,Americas,0.8,14000.0,28.5,13.8,50.0,23.5,20.3,25.6,6.9,76.5,3.2,53.9,2.0,50.0,0.0,0.0,5.3,76.2,0.0,0.0,17.5,0.0,62.3,BBB,0.745675257,41.0,15597.0,243266409.0
134,Australia,23800000.0,Asia and the Pacific,0.6,15000.0,11.9,15.7,20.7,12.0,13.0,4.3,6.3,69.6,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.9,0.0,63.8,BBB,0.92653552,2.0,55888.0,3123468544.0
135,New Zealand,4615000.0,Asia and the Pacific,0.6,3000.0,12.2,18.4,16.2,7.0,7.0,1.9,4.8,53.7,2.9,47.8,1.8,43.8,0.0,0.0,6.7,95.2,0.0,0.0,16.1,0.0,57.6,BB,0.916766667,7.0,44511.0,1981229121.0
136,Canada,35950000.0,Americas,0.5,17000.0,16.6,20.7,20.1,9.2,21.5,10.2,4.7,52.4,4.4,72.8,3.0,75.0,0.0,0.0,4.3,61.9,0.0,0.0,16.4,0.0,58.6,BB,0.8503,8.0,45894.0,2106259236.0
137,Japan,127975000.0,Asia and the Pacific,0.3,37000.0,21.5,13.1,15.5,31.9,17.8,13.8,3.9,43.5,2.7,44.4,1.5,37.5,-1.0,0.0,3.2,45.2,0.0,0.0,11.3,-1.0,36.6,CCC,0.808,17.0,38030.0,1446280900.0
