,country,total_population,Region,victims_per_1000_population,Est. number of people in modern slavery,factor_one_governance_issues,Factor Two Nourishment and Access,factor_three_inequality,Factor Four Disenfranchised Groups,factor_five_effects_of_conflict,"Final overall (normalised, weighted) vulnerability score",Support survivors,%,criminal_justice,%.1,Coordination,%.2,NEG Government  complicity (1.4.3),NEG State-imposed forced labour (1.8.1),Address risk,%.3,Supply chains,%.4,SUM/104,SUM Neg,TOTAL,Credit rating,education_access_score,hdi_rank,gdp_per_capita,gdp_per_capita2
21,Uganda,40145000.0,Africa,7.6,304000.0,52.8,48.3,38.2,50.3,35.3,60.8,4.3,48.1,3.1,51.7,1.5,37.5,-1.0,0.0,3.8,54.8,0.0,0.0,12.8,-1.0,42.0,B,0.478643671,164.0,766.0,586756.0
22,Madagascar,24234000.0,Africa,7.5,182000.0,54.4,46.8,51.0,56.8,17.3,62.0,3.5,38.7,3.2,52.8,0.8,18.8,-1.0,-1.0,3.5,50.0,0.0,0.0,10.9,-2.0,31.8,CCC,0.458425611,155.0,544.0,295936.0
23,Malawi,17574000.0,Africa,7.5,131000.0,55.4,51.5,40.9,61.5,19.1,63.4,3.0,33.1,1.4,23.9,1.8,43.8,-1.0,0.0,2.3,33.3,0.0,0.0,8.5,-1.0,26.8,CC,0.439666667,174.0,359.0,128881.0
24,Guinea-Bissau,1771000.0,Africa,7.5,13000.0,77.8,40.1,47.6,44.1,17.1,70.5,0.7,7.4,1.9,31.1,1.3,31.3,0.0,0.0,1.5,21.4,0.0,0.0,5.3,0.0,18.9,C,0.325333333,177.0,760.0,577600.0
25,Liberia,4500000.0,Africa,7.4,33000.0,55.0,44.0,44.1,54.9,18.2,59.3,2.5,28.0,1.6,26.7,1.3,31.3,0.0,0.0,3.5,50.0,0.0,0.0,8.9,0.0,31.7,CCC,0.367244444,175.0,730.0,532900.0
26,Angola,27859000.0,Africa,7.2,199000.0,60.2,43.4,48.2,48.5,19.8,62.3,2.8,31.5,0.8,13.9,1.8,43.8,-1.0,0.0,3.8,54.8,0.0,0.0,9.3,-1.0,29.5,CC,0.474212067,149.0,4384.0,19219456.0
27,Djibouti,927000.0,Africa,7.1,7000.0,66.8,38.0,33.9,48.1,21.3,61.2,2.7,30.4,2.6,42.8,1.3,31.3,0.0,0.0,3.3,47.6,0.0,0.0,9.9,0.0,35.3,CCC,0.305877778,170.0,2968.0,8809024.0
28,Kenya,47236000.0,Africa,6.9,328000.0,55.1,48.7,49.6,44.5,66.8,70.6,3.2,35.7,2.3,38.9,1.5,37.5,-1.0,0.0,4.2,59.5,0.0,0.0,11.2,-1.0,36.5,CCC,0.514555556,147.0,1672.0,2795584.0
29,Malaysia,30723000.0,Asia and the Pacific,6.9,212000.0,36.2,28.4,39.6,41.2,27.8,39.2,3.6,40.0,3.2,53.9,2.3,56.3,-1.0,0.0,2.7,38.1,0.0,0.0,11.8,-1.0,38.4,CCC,0.670544444,62.0,10382.0,107785924.0
30,Albania,2923000.0,Europe and Central Asia,6.9,20000.0,46.0,20.7,44.3,48.4,27.0,45.2,6.6,72.8,3.8,63.3,2.8,68.8,-1.0,0.0,4.7,66.7,0.0,0.0,17.8,-1.0,59.9,BB,0.608519363,95.0,4454.0,19838116.0
31,Cameroon,22835000.0,Africa,6.9,157000.0,65.9,36.5,46.2,46.3,53.9,69.6,2.4,26.7,1.5,24.4,0.8,18.8,-1.0,0.0,3.5,50.0,0.0,0.0,8.1,-1.0,25.4,CC,0.485788889,152.0,1533.0,2350089.0
32,Togo,7417000.0,Africa,6.8,50000.0,70.0,31.5,45.3,42.3,17.1,61.3,2.6,28.7,1.3,21.1,1.3,31.3,0.0,0.0,1.5,21.4,0.0,0.0,6.6,0.0,23.6,CC,0.514422222,166.0,650.0,422500.0
33,Niger,19897000.0,Africa,6.7,133000.0,61.9,41.2,37.0,45.0,50.4,65.6,2.6,29.1,2.1,35.6,1.0,25.0,-1.0,0.0,2.5,35.7,0.0,0.0,8.3,-1.0,25.9,CC,0.197933333,187.0,561.0,314721.0
34,Zimbabwe,15777000.0,Africa,6.7,105000.0,66.3,45.5,36.6,53.0,25.3,66.4,1.1,11.7,1.0,17.2,1.8,43.8,-1.0,0.0,2.5,35.7,0.0,0.0,6.3,-1.0,19.0,C,0.499933333,156.0,1397.0,1951609.0
35,Turkey,78271000.0,Europe and Central Asia,6.5,509000.0,47.0,22.2,47.0,48.6,47.9,51.6,6.0,66.7,3.4,57.2,1.5,37.5,0.0,0.0,2.3,33.3,0.0,0.0,13.3,0.0,47.4,B,0.652023697,69.0,10894.0,118679236.0
36,Ukraine,44658000.0,Europe and Central Asia,6.4,286000.0,54.0,15.9,46.4,39.0,62.2,54.4,5.9,65.7,2.8,46.1,2.5,62.5,-1.0,0.0,4.7,66.7,0.0,0.0,15.9,-1.0,53.0,BB,0.795511111,83.0,2512.0,6310144.0
