,Country,Country Code,2017
160,Montenegro,MNE,560665419.031984
161,Mongolia,MNG,1494350363.46922
162,Northern Mariana Islands,MNP,
163,Mozambique,MOZ,2319071971.47682
164,Mauritania,MRT,588217194.758539
165,Mauritius,MUS,442947618.0166
166,Malawi,MWI,90200209.9764129
167,Malaysia,MYS,9368469822.661459
168,North America,NAC,383470694049.437
169,Namibia,NAM,373575659.263613
170,New Caledonia,NCL,658875463.3851
171,Niger,NER,338710710.13916004
172,Nigeria,NGA,3502999130.96667
173,Nicaragua,NIC,771900000.0
174,Netherlands,NLD,96255613555.2639
175,Norway,NOR,5900604723.7885895
176,Nepal,NPL,196265098.563575
177,Nauru,NRU,0.0
178,New Zealand,NZL,2093698049.94685
179,OECD members,OED,1199116798484.61
180,Oman,OMN,2917295188.55657
181,Other small states,OSS,23350516268.8752
182,Pakistan,PAK,2496000000.0
183,Panama,PAN,3976868000.0
184,Peru,PER,6860492819.49823
185,Philippines,PHL,10256442398.8834
186,Palau,PLW,27484632.723017
187,Papua New Guinea,PNG,161470622.807911
188,Poland,POL,11762000000.0
189,Pre-demographic dividend,PRE,10269880716.2635
190,Puerto Rico,PRI,
191,"Korea, Dem. People’s Rep.",PRK,-12791000.0
192,Portugal,PRT,10663828803.4562
193,Paraguay,PRY,603320572.227304
194,West Bank and Gaza,PSE,203376299.06288
195,Pacific island small states,PSS,506715776.98235995
196,Post-demographic dividend,PST,1282643513616.37
197,French Polynesia,PYF,79070196.5652
198,Qatar,QAT,985989010.9890109
199,Romania,ROU,5952909608.10492
200,Russian Federation,RUS,28557440000.0
201,Rwanda,RWA,270110771.39
202,South Asia,SAS,46334263754.3824
203,Saudi Arabia,SAU,1418843613.8004801
204,Sudan,SDN,1065298481.4186699
205,Senegal,SEN,588292997.958708
206,Singapore,SGP,97766497094.3389
207,Solomon Islands,SLB,42883975.6278544
208,Sierra Leone,SLE,198174760.501372
209,El Salvador,SLV,503801415.183001
210,San Marino,SMR,
211,Somalia,SOM,384000000.0
212,Serbia,SRB,2894615965.2376103
213,Sub-Saharan Africa (excluding high income),SSA,27352151663.2598
214,South Sudan,SSD,1420000.0
215,Sub-Saharan Africa,SSF,27919564816.981003
216,Small states,SST,25879876087.1219
217,Sao Tome and Principe,STP,34208489.0333144
218,Suriname,SUR,96075554.74145359
219,Slovak Republic,SVK,4225581974.3323603
220,Slovenia,SVN,1196228604.69281
221,Sweden,SWE,26347927028.2056
222,Eswatini,SWZ,-57647593.3929901
223,Sint Maarten (Dutch part),SXM,32759776.5363128
224,Seychelles,SYC,124465535.7046
225,Syrian Arab Republic,SYR,
226,Turks and Caicos Islands,TCA,22068000.0
227,Chad,TCD,334997123.7491
228,East Asia & Pacific (IDA & IBRD countries),TEA,239200969744.137
229,Europe & Central Asia (IDA & IBRD countries),TEC,83431360822.8494
230,Togo,TGO,88558699.5022234
231,Thailand,THA,8229148190.32755
232,Tajikistan,TJK,185827080.700795
233,Turkmenistan,TKM,2085944000.0
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,159915562340.082
235,Timor-Leste,TLS,6715937.467148
236,Middle East & North Africa (IDA & IBRD countries),TMN,16534523185.6669
237,Tonga,TON,-5613753.35828908
238,South Asia (IDA & IBRD),TSA,46334263754.3824
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,27919564816.981003
240,Trinidad and Tobago,TTO,-456860907.461982
241,Tunisia,TUN,810936482.8419981
